Current_Crop,Next_Crop
Wheat, Chickpeas / Lentils
Maize (Corn), Soybean / Cowpea
Rice, Mung Bean / Sesbania
Cotton, Groundnut / Pigeon Pea
Sugarcane, Sunhemp / Dhaincha
Potato, Beans / Peas
Tomato, Alfalfa / Beans
Sorghum, Chickpeas / Soybean
Cabbage,	Clover / Vetch
Cauliflower,	Vetch / Field Peas
Barley,	Hairy Vetch / Field Peas
Onion,	Legumes / Clover
Garlic,	Beans / Cover Crops
Millets (e.g. Ragi),	Green Manure Crops
Legumes,	Millets
Millets,	Vegetables
Vegetables,	Wheat
Groundnut,	Chickpea
Chickpea,	Wheat
Soybean,	Sorghum
Pulses,	Millets
